"","J(cost function)","0","1","2","3"
"1",111.858125,1.40225,0.811878914440311,0.747241834677419,0.395820932277924
"2",81.0718744939411,2.57851465507249,1.50462920155965,1.38064312752059,0.728301300380133
"3",59.1804081923938,3.56431309202989,2.09690237306129,1.91806281015782,1.00739079670817
"4",43.6099082200777,4.38958706901499,2.60442166335921,2.37455569493429,1.24147680706945
"5",32.5313713319674,5.07957672643663,3.04044182071571,2.76281277323399,1.43762972178425
"6",24.6450729343675,5.65555882885819,3.41613670271141,3.09353237884731,1.6018097284253
"7",19.0274033551365,6.13546908929431,3.74092601209798,3.37573307184633,1.73904113428391
"8",15.0220269519918,6.53442677711435,4.0227507291153,3.61701739392259,1.8535593169939
"9",12.1625378239081,6.8651769528278,4.26830529587374,3.82379420927326,1.94893460119733
"10",10.117497573158,7.13846326384937,4.48323334352434,4.00146613386805,2.02817668428856
"11",8.6513781536719,7.36334220445019,4.67229268667117,4.15458753486472,2.0938226653902
"12",7.59680715879106,7.54744803109682,4.8394944106352,4.28699772120223,2.14801125215551
"13",6.8348448250169,7.69721608119187,4.9882201194695,4.40193322081416,2.19254531573354
"14",6.28096851709662,7.81807102664894,5.12132077389019,4.50212242824842,2.22894462345008
"15",5.87511305163827,7.91458556817929,5.2412000098456,4.58986539086443,2.2584902914842
"16",5.57459317227748,7.99061421164346,5.34988437454957,4.66710106712528,2.28226225765371
"17",5.34907413339415,8.04940603904291,5.44908253417784,4.73546402409662,2.30117087028108
"18",5.1769977064744,8.09369977238057,5.5402351848798,4.79633223239181,2.31598351702371
"19",5.04304243589214,8.12580391073614,5.62455712685618,4.85086735642817,2.32734707248546
"20",4.93631885086732,8.1476642843368,5.70307273204584,4.90004871836901,2.33580682113812
"21",4.84908695045893,8.16092100138688,5.77664584274662,4.9447019290993,2.34182240899389
"22",4.77584482514014,8.16695645318898,5.84600497561616,4.98552302360909,2.34578129056983
"23",4.71268101468361,8.16693578156962,5.91176456819443,5.02309880667556,2.34801006442975
"24",4.65681428179901,8.1618409921666,5.97444288934509,5.05792400389663,2.34878402883558
"25",4.6062665667663,8.15249971129494,6.0344771374415,5.09041571969494,2.34833523698408
"26",4.55963058287482,8.13960942744832,6.09223616787355,5.12092562514748,2.34685928742149
"27",4.51590466531845,8.12375792643152,6.14803122211533,5.14975023210003,2.34452104823663
"28",4.47437541160528,8.1054405177941,6.20212497214532,5.17713955405515,2.34145948244883
"29",4.43453428347722,8.08507455638993,6.25473914473985,5.20330440713995,2.3377917157197
"30",4.3960183424904,8.0630116837781,6.30606094862572,5.22842256468614,2.33361646535791
"31",4.35856813541074,8.0395481474918,6.356248492465,5.25264394542653,2.3290169309057
"32",4.32199776657842,8.01493349998563,6.40543535213,5.27609498704792,2.32406323084877
"33",4.28617363055423,7.9893779316816,6.45373442084535,5.29888233301454,2.31881445671655
"34",4.25099929892022,7.96305845258558,6.50124115480019,5.32109594049114,2.31332040464964
"35",4.21640478033582,7.93612410326993,6.54803630915273,5.34281170026393,2.30762303507796
"36",4.18233888831063,7.9087003476296,6.59418824444486,5.36409364528462,2.30175770320136
"37",4.14876381737924,7.88089277588863,6.63975487088029,5.38499581243129,2.29575419626084
"38",4.11565128860905,7.85279022616028,6.68478528732816,5.40556381193764,2.28963760793794
"39",4.08297981030707,7.82446741585865,6.72932116298589,5.4258361503919,2.28342907545602
"40",4.05073273120988,7.79598715992431,6.77339790210821,5.44584534599967,2.277146400942
"41",4.0188968568292,7.76740224074161,6.81704562586512,5.465618868729,2.27080457522156
"42",3.98746146598854,7.73875698443869,6.8602900000427,5.4851799328345,2.26441621936781
"43",3.95641761174562,7.7100885896734,6.90315293279212,5.50454816493974,2.25799195691746
"44",3.92575762440699,7.68142824776959,6.94565316283182,5.52374016721749,2.25154072764107
"45",3.89547475815573,7.65280208696553,6.98780675530338,5.54276999213958,2.24507005204453
"46",3.86556293973567,7.62423196839217,7.02962751978123,5.56164954268136,2.23858625433772
"47",3.83601658966146,7.59573615706244,7.0711273626594,5.580388909686,2.23209465039198
"48",3.80683049496927,7.56732988749714,7.11231658421911,5.59899665625558,2.22559970618365
"49",3.77799971859575,7.53902584053151,7.15320412906341,5.61748005748682,2.219105171358
"50",3.74951953478812,7.51083454524875,7.19379779724085,5.63584530256312,2.21261419182006
"51",3.72138538301493,7.482764717797,7.23410442223083,5.65409766511377,2.20612940464563
"52",3.69359283502602,7.45482354700018,7.27413002099364,5.67224164682292,2.19965301808837
"53",3.66613757125913,7.42701693511721,7.31387992047173,5.69028109848861,2.19318687902336
"54",3.63901536389048,7.39934970079205,7.35335886423951,5.70821932207271,2.18673252979967
"55",3.61222206460925,7.37182575013144,7.39257110241871,5.7260591567264,2.18029125616508
"56",3.58575359575101,7.34444822091476,7.43152046748692,5.74380305130758,2.17386412766465
"57",3.55960594382057,7.31721960415495,7.47021043819411,5.76145312551099,2.1674520316951
"58",3.53377515471475,7.29014184656671,7.50864419345442,5.77901122139929,2.16105570221086
"59",3.50825733015563,7.26321643694004,7.54682465778722,5.79647894684214,2.15467574392193
"60",3.48304862498591,7.23644447894611,7.58475453963417,5.81385771213415,2.14831265269116
"61",3.45814524507921,7.20982675250608,7.62243636367094,5.83114876086239,2.14196683272785
"62",3.43354344568945,7.18336376551864,7.65987249805637,5.84835319592683,2.1356386110807
"63",3.40923953011422,7.15705579746005,7.69706517741391,5.86547200147443,2.12932824985411
"64",3.38522984858348,7.13090293613314,7.73401652221548,5.88250606138875,2.12303595650546
"65",3.36151079731039,7.10490510864072,7.77072855513235,5.8994561748759,2.11676189252448
"66",3.33807881765928,7.07906210749057,7.80720321482948,5.91632306960268,2.11050618074899
"67",3.31493039539896,7.05337361259634,7.84344236760438,5.93310741277141,2.10426891153093
"68",3.29206206001854,7.02783920981877,7.87944781720911,5.94980982045537,2.09805014793344
"69",3.26947038408966,7.0024584065907,7.91522131314044,5.96643086546793,2.09184993011086
"70",3.24715198266358,6.97723064508345,7.95076455763878,5.98297108399578,2.08566827900025
"71",3.225103512695,6.95215531330105,7.98607921159841,5.99943098119013,2.07950519943229
"72",3.20332167248657,6.92723175442737,8.02116689955996,6.0158110358797,2.07336068275292
"73",3.18180320115015,6.90245927470074,8.05602921392927,6.03211170454327,2.06723470903245
